,resnum,native_ss,pre_ss,native_rsa,pre_rsa,Target
82,84,0,0,25.1,10,T1024
83,85,0,0,56.2,10,T1024
84,86,0,0,0.0,10,T1024
85,87,0,0,0.0,15,T1024
86,88,0,0,44.1,10,T1024
87,89,0,0,33.6,10,T1024
88,90,0,0,0.0,10,T1024
89,91,0,0,19.4,10,T1024
90,92,0,0,61.3,15,T1024
91,93,0,0,5.9,15,T1024
92,94,2,2,3.4,25,T1024
93,95,2,2,53.9,20,T1024
94,96,2,2,80.0,30,T1024
95,97,2,2,113.0,25,T1024
96,98,2,2,39.0,20,T1024
97,99,2,2,31.0,25,T1024
98,100,2,0,47.8,15,T1024
99,101,0,0,14.9,10,T1024
100,102,0,0,46.8,10,T1024
101,103,0,0,22.8,5,T1024
102,104,0,0,0.0,0,T1024
103,105,0,0,5.4,0,T1024
104,106,0,0,51.9,0,T1024
105,107,0,0,0.0,0,T1024
106,108,0,0,3.9,5,T1024
107,109,0,0,22.1,5,T1024
108,110,0,0,22.7,5,T1024
109,111,0,0,3.4,10,T1024
110,112,0,0,19.6,10,T1024
111,113,0,0,24.6,5,T1024
112,114,0,0,0.0,5,T1024
113,115,0,0,25.6,15,T1024
114,116,0,0,21.3,15,T1024
115,117,0,0,6.8,5,T1024
116,118,0,2,0.4,10,T1024
117,119,0,2,16.2,20,T1024
118,120,0,0,5.1,10,T1024
119,121,0,0,0.0,0,T1024
120,122,0,0,0.0,10,T1024
121,123,0,0,29.1,25,T1024
122,124,0,0,0.0,0,T1024
123,125,0,0,0.6,0,T1024
124,126,0,0,0.4,0,T1024
125,127,0,0,8.8,5,T1024
126,128,0,0,29.8,25,T1024
127,129,0,2,23.8,15,T1024
128,130,2,2,12.0,15,T1024
129,131,2,2,52.4,45,T1024
130,132,2,0,59.5,60,T1024
131,133,2,0,88.5,60,T1024
132,134,0,0,26.0,50,T1024
133,135,0,0,10.9,20,T1024
134,136,0,0,17.5,40,T1024
135,137,0,0,25.8,25,T1024
136,138,0,0,0.4,0,T1024
137,139,0,0,4.4,5,T1024
138,140,0,0,10.3,0,T1024
139,141,0,0,15.8,0,T1024
140,142,0,0,9.6,10,T1024
141,143,0,0,10.4,10,T1024
142,144,0,0,30.9,0,T1024
143,145,0,0,8.0,0,T1024
144,146,0,0,34.5,15,T1024
145,147,0,0,13.5,10,T1024
146,148,0,0,23.3,0,T1024
147,149,0,0,0.0,0,T1024
148,150,0,0,22.3,0,T1024
149,151,0,0,26.6,0,T1024
150,152,0,0,44.6,5,T1024
151,153,0,0,0.0,5,T1024
152,154,0,0,48.0,5,T1024
153,155,0,0,60.2,10,T1024
154,156,0,0,22.9,5,T1024
155,157,0,0,5.3,0,T1024
156,158,0,0,80.8,0,T1024
157,159,0,0,73.5,10,T1024
158,160,0,0,16.5,5,T1024
159,161,0,0,10.7,10,T1024
160,162,2,0,39.7,20,T1024
161,163,2,2,74.2,25,T1024
162,164,2,2,35.0,20,T1024
163,165,0,0,12.9,20,T1024
164,166,0,0,18.5,20,T1024
165,167,0,0,33.0,10,T1024
166,168,0,0,0.4,5,T1024
167,169,0,0,0.0,5,T1024
168,170,0,0,41.9,10,T1024
169,171,0,0,31.8,5,T1024
170,172,0,0,2.8,15,T1024
171,173,0,0,20.5,10,T1024
172,174,0,0,51.0,15,T1024
173,175,0,0,13.5,15,T1024
174,176,0,0,3.2,20,T1024
175,177,0,0,30.5,15,T1024
176,178,0,0,48.9,15,T1024
177,179,0,0,7.3,15,T1024
178,180,0,0,20.3,10,T1024
179,181,0,0,51.8,10,T1024
180,182,0,0,21.4,10,T1024
181,183,0,0,0.0,10,T1024
182,184,0,0,29.6,10,T1024
183,185,0,0,76.2,15,T1024
184,186,2,0,51.7,15,T1024
185,187,2,2,1.4,10,T1024
186,188,2,2,58.2,35,T1024
187,189,2,2,38.5,45,T1024
188,190,2,2,27.4,45,T1024
189,191,2,2,7.8,35,T1024
190,192,2,2,88.6,50,T1024
191,193,2,2,51.1,55,T1024
192,194,2,2,99.7,55,T1024
193,203,2,0,85.9,50,T1024
194,204,0,0,37.8,20,T1024
195,205,0,0,59.2,20,T1024
196,206,0,0,50.0,50,T1024
197,207,0,0,7.4,30,T1024
198,208,0,0,8.4,10,T1024
199,209,0,0,37.7,30,T1024
200,210,0,0,40.2,25,T1024
201,211,0,0,0.0,0,T1024
202,212,0,0,51.2,10,T1024
203,213,0,2,62.9,40,T1024
204,214,2,2,22.1,25,T1024
205,215,0,0,71.5,25,T1024
206,216,0,0,18.9,10,T1024
207,217,0,0,0.7,0,T1024
208,218,0,0,21.8,0,T1024
209,219,0,0,24.4,0,T1024
210,220,0,0,2.0,0,T1024
211,221,0,0,1.9,0,T1024
212,222,0,0,30.9,0,T1024
213,223,0,0,0.1,0,T1024
214,224,0,0,4.3,0,T1024
215,225,0,0,15.1,0,T1024
216,226,0,0,10.4,0,T1024
217,227,0,0,0.0,5,T1024
218,228,0,0,2.4,5,T1024
219,229,0,0,5.3,5,T1024
220,230,0,0,0.3,5,T1024
221,231,0,0,22.8,10,T1024
222,232,0,0,7.3,10,T1024
223,233,0,0,0.2,10,T1024
224,234,0,0,14.1,5,T1024
225,235,0,0,73.8,15,T1024
226,236,0,2,10.7,10,T1024
227,237,0,0,3.4,15,T1024
228,238,0,0,0.8,0,T1024
229,239,0,0,22.4,5,T1024
230,240,0,0,34.1,10,T1024
231,241,0,0,16.1,15,T1024
232,242,0,0,1.9,0,T1024
233,243,0,0,46.4,25,T1024
234,244,0,0,80.0,40,T1024
235,245,0,0,50.9,30,T1024
236,246,2,2,11.0,10,T1024
237,247,2,2,62.3,40,T1024
238,248,2,2,56.0,40,T1024
239,249,2,2,47.2,30,T1024
240,250,2,0,109.3,35,T1024
241,257,2,2,40.1,35,T1024
242,258,0,0,7.0,20,T1024
243,259,0,0,67.1,20,T1024
244,260,0,0,69.9,30,T1024
245,261,0,0,0.4,5,T1024
246,262,0,0,14.6,0,T1024
247,263,0,0,50.7,0,T1024
248,264,0,0,30.7,0,T1024
249,265,0,0,1.4,0,T1024
250,266,0,0,49.2,5,T1024
251,267,0,0,56.3,0,T1024
252,268,0,0,11.2,10,T1024
253,269,0,0,8.6,10,T1024
254,270,0,0,21.0,5,T1024
255,271,0,0,35.6,5,T1024
256,272,0,1,13.3,0,T1024
257,273,0,1,0.2,0,T1024
258,274,0,1,21.4,0,T1024
259,275,0,1,63.2,5,T1024
260,276,0,1,30.2,5,T1024
261,277,0,0,2.1,10,T1024
262,278,0,0,71.3,15,T1024
263,279,0,0,41.1,15,T1024
264,280,0,0,20.5,0,T1024
265,281,0,0,20.4,10,T1024
266,282,0,0,86.6,25,T1024
267,283,0,0,71.6,10,T1024
268,284,0,0,8.3,10,T1024
269,285,2,0,61.5,45,T1024
270,286,2,0,73.9,50,T1024
271,287,2,2,24.8,25,T1024
272,288,2,2,54.6,45,T1024
273,289,0,0,21.5,50,T1024
274,290,0,0,23.5,30,T1024
275,291,0,0,49.7,25,T1024
276,292,0,0,2.5,10,T1024
277,293,0,0,0.0,0,T1024
278,294,0,0,17.5,5,T1024
279,295,0,0,45.6,5,T1024
280,296,0,0,0.3,5,T1024
281,297,0,0,0.0,15,T1024
282,298,0,0,33.7,15,T1024
283,299,0,0,30.4,15,T1024
284,300,0,0,0.0,20,T1024
285,301,0,0,2.2,20,T1024
286,302,0,0,51.5,20,T1024
287,303,0,0,0.0,20,T1024
288,304,0,0,0.0,25,T1024
289,305,0,0,20.1,20,T1024
290,306,0,0,18.1,15,T1024
291,307,0,0,0.1,20,T1024
292,308,0,0,2.8,20,T1024
293,309,0,0,47.0,25,T1024
294,310,2,2,28.7,25,T1024
295,311,2,2,29.6,30,T1024
296,312,2,0,41.7,25,T1024
297,313,0,0,33.9,25,T1024
298,314,0,0,62.5,25,T1024
299,315,0,0,30.7,20,T1024
300,316,0,0,0.9,20,T1024
301,317,0,0,33.9,15,T1024
302,318,0,0,54.5,15,T1024
303,319,0,0,5.7,10,T1024
304,320,0,0,1.2,15,T1024
305,321,0,0,30.4,10,T1024
306,322,0,0,27.2,10,T1024
307,323,0,0,0.4,10,T1024
308,324,0,0,0.3,10,T1024
309,325,0,0,26.3,10,T1024
310,326,0,0,2.2,10,T1024
311,327,0,0,13.9,15,T1024
312,328,0,0,2.9,5,T1024
313,329,0,0,15.5,5,T1024
314,330,0,1,1.7,5,T1024
315,331,0,2,14.0,5,T1024
316,332,0,2,6.9,5,T1024
317,333,0,2,3.8,15,T1024
318,334,0,0,2.3,15,T1024
319,335,0,0,32.0,20,T1024
320,336,0,0,0.4,10,T1024
321,337,0,0,6.9,5,T1024
322,338,0,0,3.8,0,T1024
323,339,0,0,4.1,10,T1024
324,340,0,0,37.2,40,T1024
325,341,0,0,5.4,20,T1024
326,342,2,2,10.6,10,T1024
327,343,2,2,41.3,45,T1024
328,344,2,0,70.9,60,T1024
329,345,2,0,52.0,50,T1024
330,346,0,0,23.6,30,T1024
331,347,0,0,3.8,30,T1024
332,348,0,0,0.2,5,T1024
333,349,0,0,0.0,20,T1024
334,350,0,0,3.9,5,T1024
335,351,0,0,11.8,5,T1024
336,352,0,0,0.1,0,T1024
337,353,0,0,3.1,0,T1024
338,354,0,0,21.4,10,T1024
339,355,2,0,22.9,5,T1024
340,356,0,0,23.9,0,T1024
341,357,0,0,16.3,5,T1024
342,358,0,0,48.1,10,T1024
343,359,0,0,36.7,10,T1024
344,360,0,0,35.2,0,T1024
345,361,0,0,0.0,0,T1024
346,362,0,0,32.7,15,T1024
347,363,0,0,64.6,5,T1024
348,364,0,0,45.5,5,T1024
349,365,0,0,0.0,0,T1024
350,366,0,0,41.2,5,T1024
351,367,0,0,63.8,5,T1024
352,368,0,0,9.8,5,T1024
353,369,0,0,13.9,5,T1024
354,370,0,0,67.1,10,T1024
355,371,0,0,55.2,5,T1024
356,372,0,0,14.8,10,T1024
357,373,0,0,81.6,15,T1024
358,374,0,0,46.5,20,T1024
359,375,0,2,38.1,20,T1024
360,376,0,2,23.7,20,T1024
361,377,0,0,26.1,20,T1024
362,378,0,0,75.8,20,T1024
363,379,0,0,27.1,10,T1024
364,380,0,0,3.5,10,T1024
365,381,0,0,4.2,15,T1024
366,382,0,0,34.2,10,T1024
367,383,0,0,37.4,10,T1024
368,384,0,0,0.5,15,T1024
369,385,0,0,34.9,15,T1024
370,386,0,0,71.1,15,T1024
371,387,0,0,21.5,20,T1024
372,388,0,0,4.1,20,T1024
373,389,0,0,54.3,20,T1024
374,390,0,0,47.5,20,T1024
375,391,0,0,0.0,15,T1024
376,392,0,0,17.9,15,T1024
377,393,0,0,50.6,20,T1024
378,394,0,0,21.9,15,T1024
379,395,0,0,0.0,15,T1024
380,396,0,0,43.7,20,T1024
381,397,0,0,40.8,20,T1024
382,398,0,0,0.2,15,T1024
383,399,0,0,7.1,20,T1024
384,400,0,0,57.1,35,T1024
385,401,0,0,41.0,35,T1024
386,402,0,0,31.3,40,T1024
387,403,0,0,63.5,50,T1024
388,404,0,2,85.3,55,T1024
389,405,0,2,61.5,55,T1024
390,406,2,2,112.2,60,T1024
0,12,2,0,90.5,20,T1025
1,13,0,0,75.4,40,T1025
2,14,0,0,51.2,0,T1025
3,15,0,0,48.6,0,T1025
4,16,2,0,5.8,20,T1025
5,17,2,0,41.3,15,T1025
6,18,2,0,20.5,5,T1025
7,19,2,2,16.8,5,T1025
8,20,2,2,32.6,20,T1025
9,21,2,2,13.0,35,T1025
10,22,2,0,25.2,10,T1025
11,23,2,2,33.2,0,T1025
12,24,2,2,22.2,0,T1025
13,25,2,2,1.4,5,T1025
14,26,2,2,2.5,0,T1025
15,27,2,2,11.1,10,T1025
16,28,2,2,0.4,5,T1025
17,29,2,2,60.7,35,T1025
18,30,2,2,49.4,45,T1025
19,31,2,2,100.7,50,T1025
20,32,2,2,92.9,50,T1025
21,33,2,2,30.5,55,T1025
22,34,2,2,82.4,45,T1025
23,35,2,2,20.9,40,T1025
24,36,2,2,54.4,35,T1025
25,37,0,0,30.1,5,T1025
26,38,0,0,64.7,35,T1025
27,39,0,0,56.1,40,T1025
28,40,0,0,0.6,0,T1025
29,41,0,0,21.7,0,T1025
30,42,0,0,41.1,40,T1025
31,43,0,0,38.4,35,T1025
32,44,0,0,0.0,0,T1025
33,45,0,0,2.3,5,T1025
34,46,0,0,41.5,40,T1025
35,47,0,0,25.0,25,T1025
36,48,0,0,0.0,0,T1025
37,49,0,0,7.4,0,T1025
38,50,0,0,74.8,45,T1025
39,51,2,0,21.9,25,T1025
40,52,2,0,1.4,0,T1025
41,53,2,2,70.3,50,T1025
42,54,2,2,4.0,10,T1025
43,55,2,2,63.9,50,T1025
44,56,2,2,63.7,60,T1025
45,57,2,2,61.6,50,T1025
46,58,2,2,24.2,25,T1025
47,59,1,1,31.6,30,T1025
48,60,1,1,0.0,0,T1025
49,61,1,1,0.0,0,T1025
50,62,1,1,1.3,0,T1025
51,63,1,1,0.3,0,T1025
52,64,2,2,23.5,0,T1025
53,65,2,2,2.5,0,T1025
54,66,2,2,16.6,0,T1025
55,67,2,2,23.8,5,T1025
56,68,2,2,0.0,5,T1025
57,69,0,0,59.7,5,T1025
58,70,0,0,10.0,0,T1025
59,71,0,0,0.0,0,T1025
60,72,0,0,8.8,5,T1025
61,73,0,0,39.3,15,T1025
62,74,0,0,0.0,0,T1025
63,75,0,0,5.0,0,T1025
64,76,0,0,70.0,40,T1025
65,77,0,0,60.7,35,T1025
66,78,0,0,25.9,15,T1025
67,79,2,2,9.5,40,T1025
68,80,2,2,0.5,0,T1025
69,81,1,1,46.0,30,T1025
70,82,1,1,1.2,0,T1025
71,83,1,1,7.7,5,T1025
72,84,1,1,0.0,0,T1025
73,85,1,1,1.1,0,T1025
74,86,1,1,6.6,20,T1025
75,87,2,2,22.0,0,T1025
76,88,2,2,5.9,5,T1025
77,89,0,0,67.7,40,T1025
78,90,0,0,51.1,35,T1025
79,91,0,0,0.2,0,T1025
80,92,0,0,7.7,0,T1025
81,93,0,0,39.1,45,T1025
82,94,0,0,36.9,25,T1025
83,95,0,0,0.0,0,T1025
84,96,0,0,36.5,30,T1025
85,97,0,0,72.9,45,T1025
86,98,0,0,12.9,15,T1025
87,99,0,0,0.9,0,T1025
88,100,0,0,75.9,45,T1025
89,101,0,0,79.8,55,T1025
90,102,0,2,51.8,35,T1025
91,103,2,2,70.5,50,T1025
92,104,2,2,24.2,10,T1025
93,105,2,2,54.2,50,T1025
94,106,2,2,77.9,50,T1025
95,107,2,2,16.9,30,T1025
96,108,1,1,1.4,0,T1025
97,109,1,1,38.8,35,T1025
98,110,1,1,5.1,0,T1025
99,111,1,1,44.2,20,T1025
100,112,1,1,52.2,20,T1025
101,113,2,2,3.9,5,T1025
102,114,2,1,20.1,20,T1025
103,115,2,2,4.0,0,T1025
104,116,2,2,17.5,20,T1025
105,117,2,1,68.2,50,T1025
106,118,2,2,4.8,5,T1025
107,119,2,2,55.4,45,T1025
108,120,2,2,6.9,5,T1025
109,121,2,2,70.0,55,T1025
110,122,2,2,66.1,50,T1025
111,123,2,2,47.4,40,T1025
112,124,2,2,22.8,10,T1025
113,125,1,1,1.4,0,T1025
114,126,1,1,18.8,5,T1025
115,127,1,1,0.0,0,T1025
116,128,1,1,0.0,0,T1025
117,129,1,1,0.6,0,T1025
118,130,1,1,0.1,0,T1025
119,131,1,1,6.4,0,T1025
120,132,2,2,11.4,0,T1025
121,133,2,2,2.7,0,T1025
122,134,0,0,0.1,0,T1025
123,135,0,0,4.3,0,T1025
124,136,0,0,10.9,5,T1025
125,137,2,2,12.2,0,T1025
126,138,2,2,73.3,35,T1025
127,139,2,2,48.2,35,T1025
128,140,0,0,1.9,20,T1025
129,141,0,0,22.5,40,T1025
130,142,0,0,32.1,40,T1025
131,143,0,0,0.2,0,T1025
132,144,0,0,0.0,0,T1025
133,145,0,0,49.2,40,T1025
134,146,0,0,11.8,15,T1025
135,147,0,0,0.4,0,T1025
136,148,0,0,8.2,10,T1025
137,149,0,0,29.7,30,T1025
138,150,0,0,0.0,0,T1025
139,151,1,1,0.0,0,T1025
140,152,1,1,34.6,30,T1025
141,153,1,1,67.1,40,T1025
142,154,1,1,21.2,30,T1025
143,155,1,1,0.0,0,T1025
144,156,1,1,10.8,15,T1025
145,157,1,1,0.4,0,T1025
146,158,1,1,0.0,0,T1025
147,159,1,1,0.2,0,T1025
148,160,1,1,0.2,0,T1025
149,161,1,1,0.4,0,T1025
150,162,1,1,7.6,0,T1025
151,163,1,1,0.0,0,T1025
152,164,1,1,25.8,20,T1025
153,165,2,2,47.1,30,T1025
154,166,2,2,27.3,40,T1025
155,167,2,2,92.4,60,T1025
156,168,2,2,13.7,25,T1025
157,169,2,2,51.3,50,T1025
158,170,0,2,85.0,60,T1025
159,171,0,0,83.0,55,T1025
160,172,0,0,10.3,30,T1025
161,173,0,0,48.3,40,T1025
162,174,0,0,58.1,45,T1025
163,175,0,0,9.1,5,T1025
164,176,0,0,14.4,5,T1025
165,177,0,0,63.4,35,T1025
166,178,0,0,13.2,35,T1025
167,179,0,0,1.1,0,T1025
168,180,0,0,27.1,15,T1025
169,181,0,0,56.8,35,T1025
170,182,0,0,13.6,20,T1025
171,183,0,0,11.3,15,T1025
172,184,2,2,0.9,20,T1025
173,185,2,2,3.4,5,T1025
174,186,2,2,32.6,15,T1025
175,187,2,2,12.0,25,T1025
176,188,2,2,9.3,0,T1025
177,189,2,2,18.7,15,T1025
178,190,2,2,15.4,25,T1025
179,191,0,0,26.4,10,T1025
180,192,0,0,67.1,50,T1025
181,193,0,0,49.6,30,T1025
182,194,0,0,0.0,0,T1025
183,195,0,0,31.0,20,T1025
184,196,0,0,48.4,45,T1025
185,197,0,0,19.1,5,T1025
186,198,0,0,0.0,0,T1025
187,199,0,0,59.2,40,T1025
188,200,0,0,68.1,50,T1025
189,201,0,2,9.2,5,T1025
190,202,2,2,64.8,20,T1025
191,203,2,2,3.3,0,T1025
192,204,1,1,51.0,35,T1025
193,205,1,1,36.1,20,T1025
194,206,1,1,59.9,10,T1025
195,207,1,1,36.5,30,T1025
196,208,1,1,42.7,10,T1025
197,209,1,1,22.8,35,T1025
198,210,1,1,57.2,30,T1025
199,211,0,2,5.7,5,T1025
200,212,0,0,7.5,10,T1025
201,213,0,0,81.4,50,T1025
202,214,0,0,19.2,30,T1025
203,215,0,0,0.0,0,T1025
204,216,0,2,18.0,15,T1025
205,217,0,2,35.8,50,T1025
206,218,0,0,0.1,5,T1025
207,219,0,0,0.3,0,T1025
208,220,0,0,43.4,25,T1025
209,221,0,0,36.4,30,T1025
210,222,0,0,2.1,0,T1025
211,223,0,0,0.2,5,T1025
212,224,0,0,55.4,40,T1025
213,225,0,0,44.8,20,T1025
214,226,0,0,2.5,0,T1025
215,227,0,0,54.6,35,T1025
216,228,0,0,93.9,50,T1025
217,229,0,2,25.7,25,T1025
218,230,0,0,29.5,20,T1025
219,231,0,0,93.5,50,T1025
220,232,0,0,73.0,40,T1025
221,233,0,0,27.6,0,T1025
222,234,0,0,35.4,10,T1025
223,235,2,0,84.8,50,T1025
224,236,2,0,74.9,30,T1025
225,237,2,0,15.9,10,T1025
226,238,2,2,57.4,15,T1025
227,239,0,0,63.7,45,T1025
228,240,0,0,61.3,50,T1025
229,241,0,0,37.2,10,T1025
230,242,0,0,2.9,0,T1025
231,243,0,0,56.1,35,T1025
232,244,0,0,38.1,30,T1025
233,245,0,0,15.5,0,T1025
234,246,0,0,9.3,10,T1025
235,247,0,0,28.8,45,T1025
236,248,0,0,18.3,10,T1025
237,249,0,0,5.6,0,T1025
238,250,0,0,32.5,30,T1025
239,251,0,0,30.2,40,T1025
240,252,0,0,1.9,5,T1025
241,253,0,0,32.7,10,T1025
242,254,0,2,51.4,45,T1025
243,255,2,2,0.0,30,T1025
244,256,2,2,38.3,40,T1025
245,257,2,2,19.6,35,T1025
246,258,1,1,0.3,5,T1025
247,259,1,1,0.1,15,T1025
248,260,1,1,0.2,5,T1025
249,261,1,1,0.2,0,T1025
250,262,1,1,0.0,0,T1025
251,263,1,1,0.3,0,T1025
252,264,1,1,7.2,10,T1025
253,265,1,1,1.7,0,T1025
254,266,1,1,45.0,35,T1025
255,267,1,2,24.3,50,T1025
256,268,2,2,69.7,90,T1025
0,27,2,2,140.7,55,T1026
1,28,2,2,58.9,15,T1026
2,29,2,2,70.7,30,T1026
3,30,2,2,54.3,25,T1026
4,31,1,1,43.0,15,T1026
5,32,1,1,58.7,30,T1026
6,33,1,1,19.2,0,T1026
7,34,1,1,57.1,0,T1026
8,35,1,1,15.0,5,T1026
9,36,1,1,71.9,5,T1026
10,37,2,1,45.7,10,T1026
11,38,2,1,73.0,15,T1026
12,39,1,1,26.0,25,T1026
13,40,1,1,73.3,20,T1026
14,41,1,1,5.9,10,T1026
15,42,2,1,64.1,50,T1026
16,43,2,2,55.2,55,T1026
17,44,2,2,53.0,45,T1026
18,45,2,2,35.8,50,T1026
19,46,1,1,8.1,10,T1026
20,47,1,1,23.9,25,T1026
21,48,1,1,22.4,20,T1026
22,49,1,1,19.8,10,T1026
23,50,1,1,26.6,40,T1026
24,51,1,1,0.2,10,T1026
25,52,2,2,33.8,40,T1026
26,53,2,2,1.8,45,T1026
27,54,2,2,73.4,60,T1026
28,55,2,2,67.7,35,T1026
29,56,2,2,83.3,45,T1026
30,57,2,1,24.5,20,T1026
31,58,2,1,48.0,5,T1026
32,59,2,1,73.6,30,T1026
33,60,2,1,5.1,15,T1026
34,61,1,1,44.3,40,T1026
35,62,1,2,1.2,5,T1026
36,63,1,1,29.7,35,T1026
37,64,1,1,41.2,35,T1026
38,65,1,1,0.0,0,T1026
39,66,1,1,34.8,0,T1026
40,67,1,1,0.0,0,T1026
41,68,1,1,22.5,0,T1026
42,69,1,1,0.0,0,T1026
43,70,1,1,36.7,15,T1026
44,71,1,1,0.0,0,T1026
45,72,1,1,44.9,50,T1026
46,73,1,2,0.1,10,T1026
47,74,2,2,28.1,45,T1026
48,75,2,2,8.0,40,T1026
49,76,2,2,71.8,40,T1026
50,77,2,2,30.6,35,T1026
51,78,1,1,28.0,5,T1026
52,79,1,1,0.2,5,T1026
53,80,1,1,16.8,15,T1026
54,81,1,1,3.8,10,T1026
55,82,1,1,4.6,0,T1026
56,83,1,1,0.0,0,T1026
57,84,1,1,0.0,0,T1026
58,85,1,1,29.4,35,T1026
59,86,1,2,2.2,10,T1026
60,87,1,2,53.2,45,T1026
61,88,2,2,49.8,20,T1026
62,89,2,2,57.1,60,T1026
63,90,2,0,12.4,10,T1026
64,91,2,0,90.5,20,T1026
65,92,2,2,61.0,40,T1026
66,93,2,0,13.3,5,T1026
67,94,2,0,57.6,20,T1026
68,95,2,0,54.7,35,T1026
69,96,2,0,1.2,15,T1026
70,97,1,2,0.2,5,T1026
71,98,1,2,26.5,30,T1026
72,99,2,2,45.6,15,T1026
73,100,2,0,71.7,15,T1026
74,101,2,0,31.1,10,T1026
75,102,2,0,5.0,15,T1026
76,103,1,0,65.2,10,T1026
77,104,1,0,21.6,0,T1026
78,105,2,0,35.4,40,T1026
79,106,0,0,84.6,40,T1026
80,107,0,0,78.8,5,T1026
81,108,0,0,14.4,0,T1026
82,109,2,0,61.7,40,T1026
83,110,2,0,87.9,25,T1026
84,111,2,0,34.8,0,T1026
85,112,2,0,2.3,0,T1026
86,113,1,0,41.2,10,T1026
87,114,1,1,48.8,0,T1026
88,115,1,1,38.8,5,T1026
89,116,1,2,9.9,0,T1026
90,117,1,2,66.4,45,T1026
91,118,1,2,18.4,25,T1026
92,119,1,2,52.5,45,T1026
93,120,1,1,10.2,20,T1026
94,121,1,2,47.7,40,T1026
95,122,2,2,4.0,40,T1026
96,123,2,2,90.4,40,T1026
97,124,2,2,56.1,25,T1026
98,125,2,2,65.6,30,T1026
99,126,2,2,96.3,30,T1026
100,127,2,2,78.5,20,T1026
101,128,2,2,58.9,30,T1026
102,129,2,2,26.7,50,T1026
103,130,1,0,19.4,5,T1026
104,131,1,0,59.9,30,T1026
105,132,1,0,35.7,50,T1026
106,133,1,0,44.3,30,T1026
107,134,1,0,5.4,5,T1026
108,135,1,0,58.7,40,T1026
109,136,1,0,35.0,40,T1026
110,137,1,1,34.1,5,T1026
111,138,1,1,5.7,5,T1026
112,139,1,1,74.3,40,T1026
113,140,1,1,4.3,5,T1026
114,141,1,2,78.9,25,T1026
115,142,1,2,80.9,30,T1026
116,143,1,2,7.4,40,T1026
117,144,1,2,0.2,10,T1026
118,145,1,2,20.2,35,T1026
119,146,2,2,28.4,30,T1026
120,147,2,2,63.1,15,T1026
121,148,1,1,32.7,25,T1026
122,149,1,1,11.8,20,T1026
123,150,1,1,0.4,0,T1026
124,151,1,1,5.2,5,T1026
125,152,1,1,0.8,0,T1026
