,3DCNN_prof,ProQ3D,GraphQA,angleQA,ProQ2,DAVIS-EMAconsensus,BAKER-ROSETTASERVER,BAKER-experimental,P3De,ModFOLD8,tFold-IDT,VoroCNN-GDT,VoroCNN-GEMME,DeepPotential,Ornate,SBROD,GR#,NP_P,RANK,Z-M1-GDT,Z-MA-GDT,GDT_HA,GDC_SC,GDC_ALL,RMS_CA,RMS_ALL,NP,err,AL0_P,AL4_P,ALI_P,LGA_S,RMSD[L],Z-score[M],Z-Score[D],Al.Res.,RMSD[D],MolPrb_Score,LDDT,SphGr,CAD_AA,RPF,CODM,DFM,Handed.,SOV,CE,QCS,CONTS,TMscore,Dali(raw),FlexE,QSE,CAD_SS,MolPrb_clash,MolPrb_rotout,MolPrb_ramout,MolPrb_ramfv,N1,N2,DIST,N,RMSD,GDT_TS,LGA_S3,LGA_Q,Target
T1024TS169_1,0.26306,0.380367,0.424,0.291,0.359,0.20208,0.4139,0.2830,0.3222919,0.36780652,0.513,0.359,0.366,,0.468,0.135869,169s,100.0,480.0,-1.9,-1.91,15.41,5.72,10.87,18.379,18.088,391.0,0.0,12.02,38.11,41.69,25.48,2.44,3.81,13.9,238.0,4.7,1.57,0.4,42.97,0.53,0.51,0.61,0.98,0.72,74.5,6.58,52.94,65.71,0.47,1138.5,110.74,,0.2,0.31,4.4,1.23,92.61,408.0,391.0,4.0,133.0,2.62,27.685,24.576,4.886,T1024
T1024TS031_4,0.71515,0.722304,0.711,0.512,0.719,0.34807,0.7973,0.7437,0.6989788,0.58632696,0.733,0.505,0.577,,0.545,0.293297,031s,100.0,96.0,,0.68,38.62,23.74,32.7,3.689,4.046,391.0,0.0,61.64,82.86,83.89,61.976000000000006,2.22,10.28,43.0,390.0,3.7,1.08,0.67,92.33,0.69,0.75,0.97,0.12,0.93,87.5,6.81,88.61,86.82,0.83,4728.4,1.84,,0.42,0.46,1.47,0.99,95.81,408.0,391.0,4.0,304.0,2.24,60.997,60.244,12.994000000000002,T1024
T1024TS063_4,0.19902,0.36581,0.301,0.240,0.348,0.24832,0.3909,0.3586,0.3406773,0.36536023,0.458,0.354,0.343,,0.429,0.166738,063s,100.0,472.0,,-1.75,14.64,6.4,10.57,8.477,8.901,391.0,4.0,20.97,49.87,58.82,35.635,2.55,5.92,19.5,324.0,4.7,3.72,0.38,38.88,0.47,0.42,0.76,0.83,0.8,69.2,6.35,57.78,54.56,0.57,2187.0,20.54,65.36,0.16,173.34,4.69,1.97,91.13,408.0,391.0,4.0,129.0,2.65,29.668000000000006,24.746,4.69,T1024
T1024TS170_5,0.11195,0.268587,0.181,0.191,0.191,0.16289,0.2841,0.2307,0.2210931,0.26546153,0.373,0.315,0.327,,0.417,0.098072,170s,100.0,492.0,,-2.89,7.1,2.17,3.86,17.865,18.364,391.0,0.0,0.0,24.04,46.29,29.09,2.42,3.98,14.3,177.0,2.9,2.98,0.25,18.67,0.44,0.32,0.45,1.53,0.61,64.1,6.23,36.75,48.29,0.33,1236.5,171.13,,0.09,77.21,1.47,2.22,91.63,408.0,391.0,4.0,54.0,2.85,14.962,12.069,1.832,T1024
T1024TS070_5,0.65549,0.671806,0.710,0.517,0.626,0.25119,0.7005,0.5578,0.5577167,0.46080738,0.732,0.491,0.553,,0.568,0.285351,070s,100.0,444.0,,-1.12,26.09,16.06,21.73,22.633000000000006,22.917,391.0,0.0,40.41,47.31,49.87,38.215,2.04,5.49,24.6,196.0,2.3,1.08,0.62,77.88,0.67,0.72,0.75,0.37,0.66,90.4,6.81,63.34,84.94,0.5,1901.0,27.88,52.75,0.39,2.93,0.59,0.0,98.28,408.0,391.0,4.0,192.0,2.16,37.852,38.736,8.507,T1024
T1024TS063_1,0.18222,0.388173,0.430,0.255,0.352,0.19834,0.3348,0.3306,0.3425511,0.34976053,0.437,0.351,0.357,,0.445,0.164872,063s,100.0,482.0,-2.19,-2.2,10.87,3.77,8.27,11.708,12.507,391.0,0.0,10.74,34.78,54.73,38.694,2.38,5.19,17.4,279.0,3.9,3.44,0.31,24.43,0.45,0.34,0.6,1.15,0.7,69.3,6.35,49.1,52.28,0.48,2030.1,45.33,75.89,0.09,152.39,4.99,1.23,96.06,408.0,391.0,4.0,85.0,2.4,23.913,19.316,3.398,T1024
T1024TS170_4,0.06604,0.241274,0.128,0.166,0.211,0.08149,,,0.20350775,0.22021732,0.372,0.300,0.311,,0.429,0.104631,170s,100.0,508.0,,-3.32,4.79,1.52,2.94,22.199,22.65,391.0,0.0,1.02,6.65,24.55,13.691,2.67,0.66,2.2,146.0,4.5,0.97,0.2,12.4,0.4,0.24,0.21,2.02,0.53,40.9,4.74,25.99,41.23,0.23,440.5,201.2,,0.07,0.0,0.59,0.74,92.36,408.0,391.0,4.0,35.0,2.61,9.463,7.894,1.293,T1024
T1024TS042_5,0.61784,0.666403,0.665,0.551,0.683,0.25600,0.6789,0.7042,0.6118902,0.4889813,0.708,0.490,0.545,,0.529,0.363015,042s,100.0,441.0,,-0.91,28.64,17.9,26.18,17.682000000000006,18.126,391.0,2.0,34.53,46.04,50.9,37.559,2.35,5.4,26.5,215.0,4.2,1.14,0.6,76.85,0.66,0.69,0.73,0.42,0.58,77.7,6.81,64.73,82.94,0.52,1917.2,28.02,59.88,0.38,1.39,0.59,0.74,96.06,408.0,391.0,4.0,189.0,1.67,40.473,41.968,10.677,T1024
T1024TS033_2,0.38118,0.412263,0.525,0.274,0.477,0.29373,0.4890,0.4456,0.3947471,0.4266366,0.511,0.357,0.383,,0.439,0.133440,033s,100.0,373.0,,-0.36,25.77,10.1,17.58,5.497999999999998,6.183,391.0,3.0,35.55,74.17,74.68,45.045,2.53,9.03,29.8,366.0,3.8,3.85,0.48,57.67,0.51,0.55,0.89,0.53,0.87,66.5,7.02,71.57,66.04,0.74,3341.7,9.35,48.32,0.21,183.82,5.57,2.46,89.66,408.0,391.0,4.0,224.0,2.7,47.63399999999999,40.214,7.99,T1024
T1024TS063_3,0.22846,0.442009,0.459,0.290,0.487,0.25055,0.3798,0.3402,0.4311419,0.3817106,0.469,0.385,0.402,,0.459,0.149495,063s,100.0,471.0,,-1.72,14.07,5.15,9.88,7.78,8.385,391.0,1.0,18.41,52.43,65.98,39.063,2.56,7.43,23.6,342.0,4.1,3.72,0.38,37.21,0.48,0.41,0.77,0.94,0.81,67.1,6.58,59.46,56.93,0.58,2248.5,20.46,65.1,0.13,170.11,5.57,2.22,92.61,408.0,391.0,4.0,132.0,2.78,30.115,24.65,4.585,T1024
T1025TS324_3,0.75463,0.685302,0.720,0.765,0.844,0.58803,0.7108,0.6776,0.6850627,0.62884635,0.825,0.557,0.611,,0.554,0.624210,324s,100.0,170.0,,-0.49,53.5,33.57,46.93,6.269,6.615,257.0,0.0,68.48,73.15,75.49,71.984,1.49,8.32,24.2,213.0,2.7,1.07,0.64,78.21,0.65,0.68,0.85,0.34,0.85,88.8,6.81,87.1,78.0,0.76,2315.9,8.29,78.68,0.44,0.5,0.0,1.5,93.98,268.0,257.0,4.0,191.0,1.46,68.288,66.793,12.218,T1025
T1025TS097_3,0.74297,0.576095,0.651,0.714,0.739,0.63615,0.6810,0.6665,0.5733839,0.6282957,0.755,0.518,0.541,,0.523,0.544882,097s,100.0,150.0,,-0.24,51.46,26.52,44.96,4.5539999999999985,4.729,257.0,0.0,78.21,87.94,88.33,80.64699999999998,1.79,10.14,27.7,244.0,2.4,2.99,0.59,83.07,0.61,0.69,0.92,0.26,0.9,82.4,7.13,90.39,76.32,0.85,2631.3,9.87,,0.35,86.5,0.0,4.14,88.72,268.0,257.0,4.0,228.0,1.89,71.79,75.499,11.483,T1025
T1025TS052_1,0.74030,0.664932,0.687,0.711,0.704,0.60060,0.7377,0.7361,0.6554459,0.640702,0.763,0.556,0.593,,0.531,0.560674,052s,100.0,141.0,-0.31,-0.12,54.96,34.74,48.49,7.751,7.585,257.0,2.0,80.16,88.33,88.33,81.009,1.7,10.02,29.7,240.0,2.1,2.51,0.66,80.93,0.67,0.71,0.75,0.47,0.86,79.6,7.34,92.86,81.93,0.85,2730.1,31.02,83.65,0.45,56.68,0.5,1.13,95.86,268.0,257.0,4.0,230.0,1.86,73.444,79.953,11.739,T1025
T1025TS324_2,0.78065,0.667049,0.675,0.737,0.818,0.65407,0.7063,0.6958,0.6513478,0.6537694,0.774,0.580,0.602,,0.551,0.583282,324s,100.0,100.0,,0.23,61.58,38.77,51.48,8.397,8.345,257.0,0.0,79.77,87.94,87.94,82.559,1.67,10.26,32.0,241.0,2.4,1.03,0.68,82.3,0.69,0.74,0.77,0.51,0.89,94.6,7.44,93.71,82.59,0.86,2905.1,34.16,88.95,0.5,0.0,1.49,0.38,93.98,268.0,257.0,4.0,231.0,1.73,78.113,82.654,12.594,T1025
T1025TS460_3,0.66697,0.525852,0.552,0.590,0.672,0.57556,0.6373,0.5795,0.5507034,0.5766541,0.638,0.474,0.520,,0.483,0.426615,460s,100.0,172.0,,-0.55,47.18,25.72,40.23,5.891,6.266,257.0,0.0,72.76,85.99,87.16,75.322,1.98,10.08,25.8,243.0,2.8,3.3,0.53,79.57,0.57,0.68,0.83,0.43,0.85,88.5,7.24,88.7,72.43,0.82,2462.8,11.92,90.34,0.35,95.38,1.99,4.89,86.84,268.0,257.0,4.0,220.0,2.05,67.51,65.623,10.231,T1025
T1025TS337_2,0.76054,0.620298,0.658,0.609,0.763,0.59323,0.6757,0.6752,0.6475103,0.60697967,0.735,0.542,0.545,,0.511,0.466481,337s,100.0,164.0,,-0.39,51.17,24.46,42.74,5.86,6.244,257.0,0.0,70.04,82.88,84.82,78.995,1.59,9.79,28.1,235.0,2.7,3.1,0.62,72.76,0.6,0.68,0.88,0.33,0.87,87.9,7.02,89.08,78.36,0.8,2667.4,9.11,33.11,0.34,96.11,1.49,3.01,90.98,268.0,257.0,4.0,204.0,1.83,69.747,64.863,10.583,T1025
T1025TS364_1,0.80749,0.648713,0.678,0.752,0.825,0.62701,0.7345,0.7116,0.6810393,0.6467587,0.802,0.574,0.605,,0.543,0.600426,364s,100.0,158.0,-0.51,-0.29,52.04,27.77,43.65,3.817,4.3180000000000005,257.0,1.0,72.37,84.82,85.6,74.624,1.88,10.2,27.0,248.0,2.4,3.03,0.63,79.18,0.63,0.68,0.91,0.28,0.9,89.8,6.92,90.53,78.0,0.84,2569.8,6.26,,0.39,49.18,1.99,7.14,86.09,268.0,257.0,4.0,227.0,2.07,71.109,73.791,10.457,T1025
T1025TS324_4,0.82278,0.698204,0.711,0.776,0.881,0.60325,0.7526,0.7698,0.700954,0.63714945,0.840,0.604,0.644,,0.567,0.628421,324s,100.0,167.0,,-0.43,53.89,35.53,46.93,6.025,6.26,257.0,0.0,69.26,75.1,76.65,73.623,1.59,8.09,27.4,239.0,4.5,1.3,0.67,83.85,0.68,0.71,0.89,0.31,0.85,92.1,6.35,87.67,81.45,0.77,2502.4,5.68,81.43,0.45,0.75,1.99,0.75,95.11,268.0,257.0,4.0,193.0,1.63,69.163,64.46,11.163,T1025
T1025TS319_2,0.86347,0.676072,0.666,0.755,0.829,0.60826,0.6857,0.6480,0.7016346,0.63009346,0.791,0.566,0.583,,0.542,0.628380,319s,100.0,176.0,,-0.63,47.47,23.13,40.04,5.495,5.772,257.0,0.0,65.37,76.65,78.21,68.80199999999999,1.83,8.67,26.0,248.0,4.3,3.05,0.61,79.18,0.62,0.68,0.89,0.29,0.87,84.7,6.23,89.45,76.71,0.77,2442.7,8.46,79.52,0.38,71.64,1.99,3.01,91.73,268.0,257.0,4.0,196.0,1.93,66.44,66.32,9.669,T1025
T1025TS042_3,0.51499,0.41286,0.346,0.432,0.568,0.18981,0.5082,0.2780,0.4018121,0.41563407,0.468,0.427,0.472,,0.446,0.346484,042s,100.0,202.0,,-4.06,11.09,2.49,6.11,15.795,16.298,257.0,3.0,0.0,0.39,19.46,13.548,2.34,-0.35,25.7,254.0,16.2,2.37,0.54,21.79,0.54,0.62,0.92,2.12,0.11,55.5,7.13,58.29,71.54,0.33,2453.0,7.47,38.69,0.3,1.25,6.97,11.65,64.66,268.0,257.0,4.0,56.0,2.54,19.747,16.313,2.12,T1025
T1025TS063_4,0.56923,0.555611,0.542,0.488,,0.53014,0.5697,0.5360,0.562981,0.53934985,0.649,0.482,0.507,,0.478,0.403891,063s,100.0,183.0,,-0.78,47.18,27.0,40.39,6.867000000000001,7.322,257.0,1.0,61.87,78.6,80.16,74.745,1.68,9.2,26.0,227.0,2.6,3.38,0.57,60.51,0.57,0.61,0.82,0.52,0.85,81.5,6.7,78.65,70.15,0.76,2475.3,22.36,37.26,0.36,92.86,3.48,4.14,90.6,268.0,257.0,4.0,187.0,1.86,64.39699999999999,59.036,9.534,T1025
T1025TS151_2,0.65267,0.617143,0.617,0.670,0.686,0.57374,0.6216,0.6018,0.6215314,0.598107,0.746,0.537,0.532,,0.528,0.524071,151s,100.0,184.0,,-0.8,46.7,23.51,35.77,5.185,5.825,257.0,0.0,61.48,82.49,83.66,78.4,1.75,9.96,27.3,242.0,2.6,2.92,0.55,60.9,0.59,0.6,0.85,0.46,0.87,87.1,6.92,79.85,71.48,0.76,2563.3,15.62,,0.31,71.14,0.0,3.38,87.97,268.0,257.0,4.0,188.0,2.09,64.105,59.345,8.599,T1025
T1025TS170_1,0.57104,0.557985,0.585,0.585,0.657,0.50349,0.5695,0.5982,0.5636782,0.54422766,0.727,0.535,0.549,,0.51,0.447513,170s,100.0,198.0,-1.58,-1.25,41.15,22.1,33.64,6.924,7.4460000000000015,257.0,0.0,59.53,75.88,82.88,66.11,1.99,8.79,23.6,225.0,2.3,2.52,0.47,58.76,0.55,0.54,0.72,0.63,0.81,85.5,6.47,82.44,67.5,0.72,2259.9,27.21,,0.28,54.18,0.5,0.75,95.49,268.0,257.0,4.0,177.0,1.94,57.977,53.538,8.657,T1025
T1025TS277_4,0.55482,0.549601,0.536,0.563,0.656,0.51399,0.5656,0.5389,0.5387442,0.50416726,0.726,0.559,0.572,,0.506,0.439169,277s,100.0,197.0,,-1.14,42.7,27.76,35.49,8.324,8.972999999999997,257.0,0.0,57.98,75.49,78.99,71.443,1.79,8.97,23.7,226.0,2.7,1.06,0.52,51.56,0.58,0.54,0.56,0.81,0.81,65.4,6.92,62.44,64.06,0.72,2275.2,113.88,,0.34,2.75,0.0,0.0,98.12,268.0,257.0,4.0,174.0,1.91,59.43600000000001,54.45399999999999,8.645,T1025
T1025TS042_5,0.62354,0.610616,0.628,0.679,0.731,0.61842,0.6581,0.5814,0.6244476,0.6032803,0.760,0.557,0.572,,0.522,0.507207,042s,100.0,159.0,,-0.3,53.6,28.91,41.55,4.647,4.931,257.0,0.0,70.04,80.16,83.66,75.17399999999998,1.8,9.79,26.9,244.0,2.5,1.25,0.59,73.15,0.63,0.65,0.88,0.41,0.89,87.6,7.13,88.4,74.48,0.82,2556.5,19.34,85.47,0.39,0.75,1.49,1.13,94.36,268.0,257.0,4.0,217.0,2.08,70.914,67.237,9.955,T1025
T1025TS259_4,0.73047,0.590173,0.628,0.603,0.726,0.60536,0.6666,0.6210,0.6190785,0.63008803,0.706,0.532,0.543,,0.506,0.367684,259s,100.0,132.0,,-0.03,53.21,26.87,46.47,2.7960000000000003,3.373,257.0,1.0,81.71,91.83,92.22,84.385,1.73,10.78,28.6,246.0,2.0,3.19,0.59,82.3,0.59,0.7,0.95,0.24,0.93,79.2,7.34,90.67,74.75,0.88,2710.9,4.46,,0.37,146.61,0.0,4.89,89.47,268.0,257.0,4.0,238.0,1.87,74.611,82.962,12.103,T1025
T1025TS337_5,0.78478,0.615066,0.625,0.654,0.705,0.61160,0.6860,0.6253,0.63775,0.62515557,0.717,0.502,0.532,,0.502,0.451643,337s,100.0,165.0,,-0.39,48.05,23.03,41.2,3.699,4.047,257.0,1.0,77.43,88.72,89.49,75.88600000000002,2.0,9.96,27.9,248.0,2.5,3.03,0.61,80.93,0.61,0.69,0.93,0.24,0.91,90.5,7.34,91.22,78.13,0.85,2646.6,6.62,28.06,0.36,115.58,1.0,2.26,91.35,268.0,257.0,4.0,225.0,1.92,69.65,69.535,11.117,T1025
T1025TS317_4,0.65478,0.585329,0.556,0.576,0.656,0.58700,0.6087,0.5493,0.6307885,0.5924612,0.662,0.522,0.537,,0.493,0.449716,317s,100.0,179.0,,-0.71,44.16,17.08,35.13,4.322,4.9060000000000015,257.0,4.0,68.48,83.27,83.27,66.411,2.02,9.79,24.3,246.0,2.9,3.18,0.55,69.45,0.57,0.63,0.91,0.31,0.89,87.7,7.13,88.99,70.86,0.82,2329.3,9.54,74.34,0.3,16.48,10.45,8.27,83.08,268.0,257.0,4.0,220.0,2.18,65.37,64.02199999999999,9.631,T1025
T1025TS183_3,0.93531,0.74865,0.714,0.801,0.916,0.68613,0.8595,0.8419,0.7577758,0.7165047,0.854,0.600,0.664,,0.568,0.688089,183s,100.0,36.0,,0.77,70.82,42.33,59.89,3.141,3.425,257.0,9.0,87.16,92.61,94.55,90.59,1.34,11.14,35.7,255.0,1.9,2.17,0.73,91.63,0.71,0.78,0.94,0.16,0.93,93.9,7.34,95.38,87.9,0.91,3336.4,4.83,,0.52,12.75,1.49,2.26,93.61,268.0,257.0,4.0,245.0,1.59,85.506,90.246,14.514,T1025
T1025TS170_3,0.61445,0.568687,0.612,0.543,0.681,0.55538,0.6116,0.5499,0.5888959,0.58457655,0.699,0.496,0.529,,0.504,0.421120,170s,100.0,193.0,,-0.87,41.73,22.69,33.77,4.53,5.048,257.0,0.0,62.26,81.32,84.44,67.925,1.93,10.14,26.7,249.0,2.9,2.49,0.51,67.9,0.59,0.62,0.85,0.47,0.87,85.1,7.13,87.7,70.27,0.79,2539.8,11.86,,0.35,62.92,1.0,1.88,96.62,268.0,257.0,4.0,204.0,2.15,63.132,59.54600000000001,9.066,T1025
T1026TS151_1,0.02203,0.2486,0.224,0.190,0.213,0.11972,0.2741,0.3756,0.1940315,0.19370593,0.569,0.279,0.297,,0.418,0.159978,151s,100.0,453.0,-1.64,-1.49,8.39,0.49,3.03,18.091,18.399,146.0,0.0,1.37,21.23,32.19,20.891,2.72,0.3,0.0,0.0,,2.99,0.21,3.77,0.34,0.06,0.01,1.92,0.52,35.2,1.24,29.35,22.28,0.22,,266.52,,0.06,42.4,0.79,15.97,63.89,146.0,146.0,4.0,25.0,3.12,15.925,13.68,0.7759999999999999,T1026
T1026TS063_3,0.00616,0.221463,0.097,0.180,0.056,0.09593,0.2400,0.2458,0.15140148,0.13409236,0.427,0.230,0.227,,0.321,0.138441,063s,100.0,511.0,,-1.72,6.33,0.56,2.83,19.722,20.192,146.0,0.0,0.0,4.79,25.34,17.789,2.56,-1.47,0.0,0.0,,3.4,0.17,3.42,0.31,0.02,-0.06,2.57,0.5,25.3,1.24,20.56,22.62,0.15,,415.88,90.27,0.04,73.86,3.15,2.78,83.33,146.0,146.0,4.0,15.0,2.52,11.300999999999998,9.715,0.573,T1026
T1026TS170_2,0.04391,0.285857,0.185,0.262,0.345,0.10565,0.2465,0.4069,0.2561888,0.2014734,0.631,0.366,0.342,,0.453,0.269442,170s,100.0,487.0,,-1.62,7.36,1.7,2.54,15.821,16.43,146.0,0.0,0.0,2.74,28.77,17.182000000000002,2.77,-0.14,0.0,0.0,,3.44,0.2,3.08,0.34,0.01,-0.19,2.02,0.51,48.4,1.64,26.76,22.02,0.19,,272.18,,0.06,87.01,3.15,2.78,85.42,146.0,146.0,4.0,19.0,3.03,13.356,11.499,0.607,T1026
T1026TS460_5,0.01234,0.222404,0.085,0.187,0.226,0.11230,0.2519,0.2294,0.16173366,0.15614477,0.477,0.281,0.271,,0.377,0.121993,460s,100.0,470.0,,-1.56,7.53,1.45,3.51,23.373,23.222,146.0,0.0,0.0,0.68,28.77,16.319000000000006,2.56,-1.2,0.0,0.0,,3.54,0.19,5.82,0.35,0.09,-0.08,1.88,0.54,38.2,1.24,28.47,24.9,0.18,,718.32,64.22,0.05,103.19,3.94,3.47,87.5,146.0,146.0,4.0,18.0,2.65,14.555,12.114,0.655,T1026
T1026TS151_2,0.01071,0.261756,0.148,0.215,0.325,0.11651,0.2480,0.3499,0.2290677,0.19174838,0.544,0.275,0.307,,0.419,0.164710,151s,100.0,492.0,,-1.64,6.67,1.68,3.41,17.782,18.276,146.0,2.0,0.0,15.75,42.47,27.379,2.52,2.16,2.8,82.0,4.9,3.14,0.2,3.08,0.32,0.02,-0.16,2.07,0.5,54.6,2.3,27.02,21.7,0.19,268.0,318.98,,0.05,40.65,2.36,12.5,77.08,146.0,146.0,4.0,17.0,2.43,12.842,10.762,0.672,T1026
T1026TS278_2,0.03707,0.500638,0.117,0.261,0.568,0.11697,0.2597,0.3514,0.4328703,0.25109053,0.651,0.432,0.390,,0.455,0.280751,278s,100.0,446.0,,-1.47,8.9,2.38,4.25,18.148,18.699,146.0,4.0,10.27,19.86,44.52,32.091,2.34,2.34,3.0,82.0,3.9,1.51,0.22,5.82,0.36,0.08,-0.03,2.02,0.5,56.1,3.89,29.74,26.16,0.21,273.4,259.06,44.15,0.09,2.19,0.0,3.47,90.97,146.0,146.0,4.0,23.0,2.89,16.438,14.423,0.7709999999999999,T1026
