,#,Group,Model,GDT_TS,LDDT,CAD(AA),SG,Target
35,36,ModFOLDclust2,T1026QA035_2,11.35,6.9270000000000005,12.235,11.505999999999998,T1026
36,37,P3De,T1026QA257_2,11.352,6.96,8.49,13.369000000000002,T1026
37,38,VoroCNN-GEMME,T1026QA406_2,11.46,6.558,8.646,13.549000000000001,T1026
38,39,DAVIS-EMAconsensus,T1026QA433_2,11.589,7.047000000000001,12.536,11.587,T1026
39,40,CAO-SERVER,T1026QA305_2,11.693,13.402000000000001,7.377000000000001,17.784000000000002,T1026
40,41,ProQ4,T1026QA309_2,12.207,7.172999999999999,10.174,13.693,T1026
41,42,MULTICOM-DEEP,T1026QA252_2,12.232000000000001,7.354,9.44,14.208,T1026
42,43,bioinsilico_sbi_PAIR,T1026QA185_2,12.690999999999999,14.592,8.974,17.974,T1026
43,44,SBROD,T1026QA085_2,12.800999999999998,7.367999999999999,12.837,11.953,T1026
44,45,MULTICOM-DIST,T1026QA319_2,12.897,8.31,9.861,15.209000000000001,T1026
45,46,CAO-QA1,T1026QA217_2,12.931,8.562999999999999,13.088,13.43,T1026
46,47,MASS,T1026QA317_2,13.286,12.722999999999999,8.105,17.625999999999998,T1026
47,48,LAW,T1026QA138_2,13.404000000000002,18.363,11.647,19.588,T1026
48,49,VoroMQA-light,T1026QA102_2,14.225,8.196,13.914000000000001,14.107000000000001,T1026
49,50,bioinsilico_sbi,T1026QA196_2,14.606,11.147,12.082,16.547,T1026
50,51,RaptorX-QA,T1026QA073_2,14.677,9.373,13.700999999999999,15.864,T1026
51,52,GraphQA,T1026QA210_2,15.407,11.585999999999999,17.079,13.804,T1026
52,53,Wallner,T1026QA379_2,16.334,11.190999999999999,17.257,15.24,T1026
53,54,DAVIS-EMAconsensusAL,T1026QA263_2,16.567,11.228,17.516,15.117,T1026
54,55,SASHAN,T1026QA144_2,17.741,12.073,16.963,18.229,T1026
55,56,KUHHAN,T1026QA104_2,17.741,12.073,16.963,18.229,T1026
56,57,ropius0,T1026QA254_2,17.92,23.092,16.364,24.213,T1026
57,58,ModFOLD8,T1026QA167_2,18.570999999999998,12.627,18.361,17.98,T1026
58,59,ModFOLD8_cor,T1026QA265_2,19.146,13.232999999999999,19.063,18.587,T1026
59,60,tFold-IDT,T1026QA351_2,19.316,24.888,18.207,24.653000000000002,T1026
60,61,QMEANDisCo,T1026QA280_2,19.381,13.113,18.535999999999998,19.033,T1026
61,62,MUfoldQA_X,T1026QA248_2,22.932,17.002,22.642,22.294,T1026
62,63,Bhattacharya-Server,T1026QA149_2,27.06,21.281,28.009,23.671999999999997,T1026
63,64,3DCNN_prof,T1026QA074_2,34.348,28.569000000000003,35.297,29.371,T1026
64,65,Jones-UCL,T1026QA304_2,36.775,41.864,35.118,41.773999999999994,T1026
65,66,Bhattacharya-QDeepU,T1026QA199_2,40.514,34.734,41.463,35.308,T1026
0,1,EMAP_CHAE,T1028QA216_2,2.314,8.939,7.779,6.71,T1028
1,2,MESHI_consensus,T1028QA214_2,2.5839999999999996,9.36,8.202,6.35,T1028
2,3,UOSHAN,T1028QA409_2,2.654,13.404000000000002,12.229000000000001,8.309,T1028
3,4,MESHI,T1028QA032_2,2.677,9.399,8.248,6.067,T1028
4,5,LAW,T1028QA138_2,2.68,11.003,9.827,7.484,T1028
5,6,MULTICOM-HYBRID,T1028QA187_2,3.389,7.792999999999999,6.949,4.781000000000001,T1028
6,7,ProQ2,T1028QA067_2,4.063,9.787,8.474,6.101,T1028
7,8,MUfoldQA_G,T1028QA446_2,4.6,6.808,5.5,6.445,T1028
8,9,DAVIS-EMAconsensus,T1028QA433_2,4.711,6.6770000000000005,5.393,6.226,T1028
9,10,ModFOLDclust2,T1028QA035_2,5.653,5.86,4.621,6.132999999999999,T1028
10,11,tFold-CaT,T1028QA183_2,6.26,5.69,4.526,5.275,T1028
11,12,Bhattacharya-QDeep,T1028QA429_2,6.433,10.305,8.881,4.655,T1028
12,13,MULTICOM-CLUSTER,T1028QA075_2,6.483,5.109,3.576,5.4879999999999995,T1028
13,14,Yang-Server,T1028QA140_2,6.843,6.809,5.382999999999999,3.6660000000000004,T1028
14,15,Yang_TBM,T1028QA460_2,6.865,6.8,5.369,3.6710000000000003,T1028
15,16,MASS,T1028QA317_2,6.933,7.322,6.084,8.344,T1028
16,17,MULTICOM-AI,T1028QA275_2,7.107,4.761,3.5189999999999997,5.902,T1028
17,18,MULTICOM-CONSTRUCT,T1028QA198_2,7.859,4.419,2.6710000000000003,6.084,T1028
18,19,tFold-IDT,T1028QA351_2,8.17,4.7,3.173,6.797999999999999,T1028
19,20,GraphQA,T1028QA210_2,8.76,5.476,4.7330000000000005,7.18,T1028
20,21,ModFOLD8_cor,T1028QA265_2,8.974,4.596,3.62,8.573,T1028
21,22,BAKER-experimental,T1028QA403_2,9.064,5.718,4.561,7.291,T1028
22,23,DAVIS-EMAconsensusAL,T1028QA263_2,9.259,4.114,2.479,7.591,T1028
23,24,MULTICOM-DEEP,T1028QA252_2,9.264,4.798,3.265,7.025,T1028
24,25,ModFOLD8_rank,T1028QA120_2,10.540999999999999,4.644,2.301,8.11,T1028
25,26,EDN,T1028QA203_2,10.672,6.891,5.9239999999999995,9.399,T1028
26,27,BAKER-ROSETTASERVER,T1028QA209_2,10.717,4.3660000000000005,2.875,8.431000000000001,T1028
27,28,Bhattacharya-QDeepU,T1028QA199_2,10.907,6.261,3.967,8.812999999999999,T1028
28,29,MUFOLD,T1028QA081_2,11.267999999999999,4.034,2.224,8.894,T1028
29,30,MULTICOM-DIST,T1028QA319_2,11.749,5.355,3.967,8.905,T1028
30,31,P3De,T1028QA257_2,12.412,4.3839999999999995,3.1460000000000004,10.027000000000001,T1028
31,32,DeepPotential,T1028QA024_2,13.03,24.09,22.914,15.790999999999999,T1028
32,33,ModFOLD8,T1028QA167_2,13.206,4.976,3.6189999999999998,10.57,T1028
33,34,CAO-SERVER,T1028QA305_2,13.495,6.484,4.879,11.126,T1028
34,35,ProQ3D,T1028QA339_2,13.685,4.7330000000000005,4.206,11.265999999999998,T1028
35,36,Wallner,T1028QA379_2,13.802,5.687,4.678,11.104000000000001,T1028
36,37,Jones-UCL,T1028QA304_2,14.357999999999999,13.97,12.187000000000001,8.766,T1028
37,38,3DCNN_prof,T1028QA074_2,15.177,6.4079999999999995,6.307,13.048,T1028
38,39,QMEANDisCo,T1028QA280_2,15.739,5.445,5.7139999999999995,13.165999999999999,T1028
39,40,Kiharalab,T1028QA071_2,15.863,27.057,25.881,18.741,T1028
40,41,Kiharalab_Z_Server,T1028QA364_2,15.863,27.057,25.881,18.741,T1028
41,42,VoroCNN-GEMME,T1028QA406_2,16.271,6.112,6.268,13.507,T1028
42,43,KUHHAN,T1028QA104_2,16.912,7.791,7.455,14.225,T1028
43,44,SASHAN,T1028QA144_2,16.912,7.791,7.455,14.225,T1028
44,45,ropius0,T1028QA254_2,17.635,28.698,27.523000000000003,20.383,T1028
45,46,RaptorX-QA,T1028QA073_2,18.127,9.573,9.552,16.146,T1028
46,47,MUfoldQA_X,T1028QA248_2,18.145,11.829,12.655,18.317999999999998,T1028
47,48,ProQ4,T1028QA309_2,19.989,9.404,9.971,17.124000000000002,T1028
48,49,Ornate,T1028QA346_2,20.427,10.253,10.411,17.6,T1028
49,50,DIZ,T1028QA325_2,21.059,10.863,11.040999999999999,18.282,T1028
50,51,VoroCNN-GDT,T1028QA153_2,21.548000000000002,10.578,11.53,18.671,T1028
51,52,angleQA,T1028QA391_2,21.64,12.622,11.747,18.762,T1028
52,53,VoroMQA-dark,T1028QA002_2,21.726,10.704,11.767999999999999,18.917,T1028
53,54,VoroCNN,T1028QA313_2,22.230999999999998,11.245999999999999,12.212,19.352,T1028
54,55,tFold,T1028QA238_2,22.483,11.454,12.465,19.605,T1028
55,56,Destini,T1028QA101_2,22.505,11.845999999999998,12.967,19.627,T1028
56,57,SBROD,T1028QA085_2,24.476,13.992,14.457,21.596999999999998,T1028
57,58,graph-sh,T1028QA247_2,24.863000000000003,13.821,14.844000000000001,22.023000000000003,T1028
58,59,VoroMQA-stout,T1028QA000_2,25.997,14.892000000000001,16.039,23.188000000000002,T1028
59,60,LamoureuxLab,T1028QA066_2,26.183000000000003,15.91,16.668,23.884,T1028
60,61,MESHI_EMA,T1028QA112_2,27.682,16.619,17.663,24.803,T1028
61,62,Bhattacharya-Server,T1028QA149_2,29.34,19.041,19.825,27.041,T1028
62,63,MESHI_server,T1028QA211_2,30.035999999999998,18.948,20.017,27.156999999999996,T1028
63,64,VoroMQA-light,T1028QA102_2,38.179,26.985,28.160999999999998,35.301,T1028
64,65,CAO-QA1,T1028QA217_2,39.351,28.156999999999996,29.331999999999997,36.473,T1028
65,66,bioinsilico_sbi,T1028QA196_2,48.989,37.795,38.971,46.111000000000004,T1028
66,67,bioinsilico_sbi_PAIR,T1028QA185_2,57.919,46.725,47.9,55.04,T1028
0,1,MUfoldQA_X,T1029QA248_2,2.9019999999999997,5.2589999999999995,15.482000000000001,15.262,T1029
1,2,ModFOLD8,T1029QA167_2,3.83,3.0980000000000003,13.025,12.707,T1029
2,3,SBROD,T1029QA085_2,4.516,6.21,16.347,15.665999999999999,T1029
3,4,ModFOLD8_cor,T1029QA265_2,4.6419999999999995,9.177,20.083,19.48,T1029
4,5,Bhattacharya-QDeepU,T1029QA199_2,5.4239999999999995,5.984,14.995,14.705,T1029
5,6,QMEANDisCo,T1029QA280_2,7.2170000000000005,4.1530000000000005,9.773,9.749,T1029
6,7,VoroMQA-light,T1029QA102_2,7.946000000000001,5.419,9.73,9.675,T1029
7,8,Bhattacharya-Server,T1029QA149_2,8.074,7.622999999999999,12.59,12.082,T1029
8,9,graph-sh,T1029QA247_2,8.602,4.131,7.497000000000001,8.791,T1029
9,10,tFold,T1029QA238_2,10.567,6.228,5.574,5.693,T1029
10,11,KUHHAN,T1029QA104_2,10.853,6.782,5.474,6.7170000000000005,T1029
11,12,SASHAN,T1029QA144_2,10.853,6.782,5.474,6.7170000000000005,T1029
12,13,Destini,T1029QA101_2,11.243,8.177,6.04,5.774,T1029
13,14,Ornate,T1029QA346_2,11.360999999999999,6.556,4.709,6.706,T1029
14,15,VoroCNN,T1029QA313_2,11.789000000000001,7.337999999999999,4.716,5.207000000000001,T1029
15,16,DAVIS-EMAconsensusAL,T1029QA263_2,12.889000000000001,10.584000000000001,6.547000000000001,4.378,T1029
16,17,ProQ4,T1029QA309_2,13.557,9.121,4.093999999999999,3.963,T1029
17,18,DIZ,T1029QA325_2,14.341,9.536,2.352,5.542999999999999,T1029
18,19,VoroCNN-GDT,T1029QA153_2,14.642000000000001,10.146,4.052,4.533,T1029
19,20,MESHI_EMA,T1029QA112_2,16.077,12.425999999999998,6.582000000000001,5.577999999999999,T1029
20,21,VoroCNN-GEMME,T1029QA406_2,16.134,11.440999999999999,4.494,4.833,T1029
21,22,angleQA,T1029QA391_2,16.562,12.759,6.994,4.851,T1029
22,23,Wallner,T1029QA379_2,17.209,15.214,10.67,7.659,T1029
23,24,RaptorX-QA,T1029QA073_2,18.072,13.559000000000001,5.345,4.035,T1029
24,25,LamoureuxLab,T1029QA066_2,18.682000000000002,14.568,7.912999999999999,7.443,T1029
25,26,P3De,T1029QA257_2,19.422,15.183,6.874,6.295,T1029
26,27,ModFOLD8_rank,T1029QA120_2,19.797,14.993,4.261,5.199,T1029
27,28,VoroMQA-stout,T1029QA000_2,19.961,15.214,6.309,6.252000000000001,T1029
28,29,ProQ3D,T1029QA339_2,20.218,15.767999999999999,7.175,6.942,T1029
29,30,GraphQA,T1029QA210_2,20.456,18.022000000000002,12.056,10.549000000000001,T1029
30,31,CAO-SERVER,T1029QA305_2,21.36,16.555,6.042000000000001,7.507000000000001,T1029
31,32,MULTICOM-CONSTRUCT,T1029QA198_2,21.456999999999997,16.932000000000002,10.09,7.785,T1029
32,33,Bhattacharya-QDeep,T1029QA429_2,21.523000000000003,17.144000000000002,8.522,7.313,T1029
33,34,MUFOLD,T1029QA081_2,21.543000000000003,16.949,8.26,7.797999999999999,T1029
34,35,MESHI_consensus,T1029QA214_2,21.554000000000002,18.333,11.662,8.931000000000001,T1029
35,36,CAO-QA1,T1029QA217_2,21.764,18.261,10.67,9.437000000000001,T1029
